PlayerId,Name,YearId,ACEPercentagePerYear,DBFPercentagePerYear,UFEPercentagePerYear,BPWPercentagePerYear,BPCPercentagePerYear
1,A Dulgheru,1,0,6,34,2,7
2,A Wozniak,1,0,8,35,3,5
3,A.Glatch,1,7,1,24,2,5
4,A.Keothavong,1,2,2,14,0,1
5,Adrian Mannarino,1,8,2,22,7,6
6,Adrian Ungur,1,1,6,10,1,1
7,Agnieszka Radwanska,1,2,1,14,7,7
8,Ajla Tomljanovic,1,3,5,32,4,7
9,Albano Olivetti,1,18,8,0,1,0
10,Albert Montanes,1,4,5,17,4,3
11,Albert Ramos,1,5,4,10,7,3
12,Alejandro Falla,1,1,3,24,11,5
13,Alejandro Gonzalez,1,2,4,41,7,5
14,Aleksandr Nedovyesov,1,8,2,37,2,0
15,Alex Bogomolov Jr.,1,2,7,18,8,3
16,Alex Kuznetsov,1,9,2,30,2,6
17,Alexander Dolgopolov,1,10,2,24,10,5
19,Alexandra Cadantu,1,0,4,21,4,4
20,Alison Riske,1,1,3,17,5,5
21,Alison Van Uytvanck,1,5,4,40,7,2
22,Alize Cornet,1,2,4,22,6,6
23,Aljaz Bedene,1,10,6,29,4,3
24,Alla Kudryavtseva,1,3,3,14,6,3
25,Ana Ivanovic,1,3,3,25,7,6
26,Ana Konjuh,1,0,5,25,1,0
27,Anabel Medina Garrigues,1,0,0,16,5,6
28,Anastasia Pavlyuchenkova,1,4,2,21,3,7
29,AnastasiAnastasia Pavlyuchenkova,1,2,4,26,8,4
30,Andrea Hlavackova,1,2,3,32,7,6
31,Andrea Petkovic,1,2,2,27,3,8
32,Andreas Beck,1,4,4,39,13,1
33,Andreas Haider-Maurer,1,8,6,15,6,1
34,Andreas Seppi,1,10,4,33,11,5
35,Andrej Martin,1,4,3,0,12,7
36,Andrey Golubev,1,0,0,15,2,1
37,Andrey Kuznetsov,1,6,6,15,14,6
38,Andy Murray,1,9,2,17,7,7
39,Angelique Kerber,1,2,2,20,8,7
40,Anna Karolina Schmiedlova,1,2,3,19,7,3
41,Anna Tatishvili,1,0,4,22,3,4
42,Annika Beck,1,0,1,18,7,6
43,Arantxa Rus,1,0,7,37,3,3
44,Aravane Rezai,1,1,7,32,13,6
45,Ashleigh Barty,1,2,2,13,4,2
46,Ayumi Morita,1,2,2,23,3,2
47,B.Knittel,1,4,12,44,1,1
48,B.Reynolds,1,15,3,25,1,8
49,Barbora Zahlavova Strycova,1,4,1,27,6,6
50,Belinda Bencic,1,3,5,31,11,6
51,Benjamin Becker,1,7,4,15,6,3
52,Benoit Paire,1,17,4,35,11,5
53,Bernard Tomic,1,9,1,17,6,5
